"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","API Tests","0","Авторизация","5","0","Регистрация пользователя","0"
"0","","0","Авторизация пользователя","4","0","Неуспешная авторизация с неверными данными","0"
"0","","0","Создание заказа","1","0","Попытка создания заказа без ингредиентов","0"
"0","","0","Создание заказа","1","0","Попытка создания заказа с неверным хешем ингредиентов","0"
"0","","1","Создание заказа","0","0","Создание заказа с ингредиентами","0"
"0","","1","Авторизация пользователя","0","0","Успешная авторизация существующего пользователя","0"
"0","","1","Создание заказа","0","0","Создание заказа без авторизации","0"
